Gästeübernachtungen (absolut und pro 1.000 EinwohnerInnen) seit 2002 - Bezirke Wien | Overnight stays (absolute and per 1,000 inhabitants) since 2002 - districts of Vienna;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;TOU_VALUE;TOU_DENSITY;POP_AVE;;;;;;;
AT13;90000;90000;2002;20021231; 7.655.391 ; 4.836,48 ; 1.582.844 ;;;;;;;
AT13;90100;90100;2002;20021231; 1.525.278 ; 86.662,91 ; 17.600 ;;;;;;;
AT13;90200;90200;2002;20021231; 654.979 ; 7.317,55 ; 89.508 ;;;;;;;
AT13;90300;90300;2002;20021231; 781.717 ; 9.498,53 ; 82.299 ;;;;;;;
AT13;90400;90400;2002;20021231; 315.284 ; 10.789,96 ; 29.220 ;;;;;;;
AT13;90500;90500;2002;20021231; 374.348 ; 7.460,55 ; 50.177 ;;;;;;;
AT13;90600;90600;2002;20021231; 539.628 ; 18.787,48 ; 28.723 ;;;;;;;
AT13;90700;90700;2002;20021231; 576.522 ; 19.911,31 ; 28.955 ;;;;;;;
AT13;90800;90800;2002;20021231; 229.062 ; 10.091,89 ; 22.698 ;;;;;;;
AT13;90900;90900;2002;20021231; 407.432 ; 10.661,57 ; 38.215 ;;;;;;;
AT13;91000;91000;2002;20021231; 396.542 ; 2.563,33 ; 154.698 ;;;;;;;
AT13;91100;91100;2002;20021231; 18.871 ; 236,42 ; 79.820 ;;;;;;;
AT13;91200;91200;2002;20021231; 131.555 ; 1.651,23 ; 79.671 ;;;;;;;
AT13;91300;91300;2002;20021231; 268.385 ; 5.312,35 ; 50.521 ;;;;;;;
AT13;91400;91400;2002;20021231; 257.757 ; 3.237,47 ; 79.617 ;;;;;;;
AT13;91500;91500;2002;20021231; 397.269 ; 5.860,42 ; 67.789 ;;;;;;;
AT13;91600;91600;2002;20021231; 91.243 ; 1.028,51 ; 88.714 ;;;;;;;
AT13;91700;91700;2002;20021231; 105.788 ; 2.153,70 ; 49.119 ;;;;;;;
AT13;91800;91800;2002;20021231; 34.025 ; 743,65 ; 45.754 ;;;;;;;
